,mon_name,mon_url,id,mon2au,au_name,location,au_url,au_name_alt,lg,lt
20,Rifugio Monte Bianco CAI Uget,https://www.montourdumontblanc.com/uk/il4-refuge_i32388-rifugio-monte-bianco-cai-uget.aspx,32388.0,Rifugio Monte Bianco,Rifugio Monte Bianco,"Val Veny, Courmayeur (It)",https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/rifugio-monte-bianco,Rifugio Monte Bianco ,6.9307565,45.800621
21,Rifugio G. Bertone,https://www.montourdumontblanc.com/uk/il4-refuge_i32385-rifugio-g-bertone.aspx,32385.0,Rifugio Bertone,Rifugio Bertone,"Mont de la Saxe, Courmayeur (It)",https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/rifugio-bertone,Rifugio Bertone,6.978450939270036,45.809009979545166
22,Hotel Funivia,https://www.montourdumontblanc.com/uk/il4-refuge_i32390-hotel-funivia.aspx,32390.0,Hotel Funivia,Hotel Funivia,"La Palud, Courmayeur (It)",https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/hotel-funivia,Hotel Funivia,6.9648385047912598,45.818709606493698
23,Hôtel Lavachey,https://www.montourdumontblanc.com/uk/il4-refuge_i32391-hotel-lavachey.aspx,32391.0,Hotel Lavachey,Hotel Lavachey,"Val Ferret, Courmayeur (It)",https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/hotel-lavachey,Hotel Lavachey,7.0217335224151611,45.850026767257518
24,Hotel Chalet Val Ferret,https://www.montourdumontblanc.com/uk/il4-refuge_i32393-hotel-chalet-val-ferret.aspx,32393.0,Chalet Val Ferret,Chalet Val Ferret,"Arnouva - Val Ferret, Courmayeur (It)",https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/chalet-val-ferret,Chalet Val Ferret,7.053360899999999,45.8710026
25,Gîte Alpage de La Peule,https://www.montourdumontblanc.com/uk/il4-refuge_i32398-gite-alpage-de-la-peule.aspx,32398.0,Alpage de La Peule,Alpage de La Peule,Orsieres (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/alpage-de-la-peule,La Peule,7.1126909,45.8985235
26,Hotel du Col de Fenêtre,https://www.montourdumontblanc.com/uk/il4-refuge_i32396-hotel-du-col-de-fenetre.aspx,32396.0,Hotel du Col Fenêtre,Hotel du Col Fenêtre,La Fouly (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/hotel-du-col-fenetre,Hotel du Col de Fenêtre,7.10476,45.9161578
27,Gîte La Léchère,https://www.montourdumontblanc.com/uk/il4-refuge_i32397-gite-la-lechere.aspx,32397.0,Gîte de La Léchère,Gîte de La Léchère,La Fouly (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/gite-de-la-lechere,Gîte La Léchère,7.098832600000001,45.9201065
28,Chalet 'Le Dolent',https://www.montourdumontblanc.com/uk/il4-refuge_i32399-chalet-le-dolent.aspx,32399.0,Chalet Le Dolent,Chalet Le Dolent,La Fouly (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/chalet-le-dolent,Chalet Le Dolent,7.096009,45.929125
29,Maya-Joie,https://www.montourdumontblanc.com/uk/il4-refuge_i46179-maya-joie.aspx,46179.0,Auberge Maya-Joie,Auberge Maya-Joie,La Fouly (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/auberge-maya-joie,Auberge Maya Joie,7.097611,45.930596
30,Auberge des Glaciers,https://www.montourdumontblanc.com/uk/il4-refuge_i32394-auberge-des-glaciers.aspx,32394.0,Auberge des Glaciers,Auberge des Glaciers,La Fouly (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/auberge-des-glaciers,Auberge des Glaciers,7.0987605,45.9323887
31,Gîte de La Fouly,https://www.montourdumontblanc.com/uk/il4-refuge_i114712-gite-de-la-fouly.aspx,114712.0,Gîte de la Fouly,Gîte de la Fouly,La Fouly (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/gite-de-la-fouly,Gîte de la Fouly,7.0985092,45.9331032
32,Hôtel Edelweiss,https://www.montourdumontblanc.com/uk/il4-refuge_i32395-hotel-edelweiss.aspx,32395.0,Hôtel Edelweiss,Hôtel Edelweiss,La Fouly (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/hotel-edelweiss,Hotel Edelweiss,7.098316,45.9336993
33,Auberge Gîte Bon Abri,https://www.montourdumontblanc.com/uk/il4-refuge_i32400-auberge-gite-bon-abri.aspx,32400.0,Gîte Bon Abri,Gîte Bon Abri,Champex Lac (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/gite-bon-abri,Auberge Gîte Bon Abri,7.0991197,46.0355254
34,Chalet La Grange,https://www.montourdumontblanc.com/uk/il4-refuge_i110727-chalet-la-grange.aspx,110727.0,Chalet La Grange,Chalet La Grange,Champex Lac (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/chalet-la-grange,Chalet La Grange,7.0992161,46.0358866
35,Relais d'Arpette,https://www.montourdumontblanc.com/uk/il4-refuge_i32403-relais-d-arpette.aspx,32403.0,Relais d'Arpette,Relais d'Arpette,Champex Lac (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/relais-d-arpette,Relais d'Arpette,7.0928716,46.0298881
36,Hôtel du Col de la Forclaz,https://www.montourdumontblanc.com/uk/il4-refuge_i32404-hotel-du-col-de-la-forclaz.aspx,32404.0,Hôtel du Col de la Forclaz,,,,,7.00132,46.05797
37,Auberge Mont-Blanc,https://www.montourdumontblanc.com/uk/il4-refuge_i32406-auberge-mont-blanc.aspx,32406.0,Auberge Mont-Blanc,Auberge Mont-Blanc,Trient (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/auberge-mont-blanc,Auberge Mont Blanc,6.994205999999999,46.058218
38,La Grande Ourse,https://www.montourdumontblanc.com/uk/il4-refuge_i39703-la-grande-ourse.aspx,39703.0,Hôtel La Grande Ourse,Hôtel La Grande Ourse,Trient (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/hotel-la-grande-ourse,Hotel La Grande Ourse,6.9941296,46.0577896
39,Refuge Le Peuty,https://www.montourdumontblanc.com/uk/il4-refuge_i32405-refuge-le-peuty.aspx,32405.0,Refuge Le Peuty,Refuge Le Peuty,Trient (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-le-peuty,Refuge Le Peuty,6.993712299999999,46.0466917
40,,,,,Chalet-Hôtel Le Prarion,Saint Gervais les Bains (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/chalet-hotel-le-prarion,Prarion,6.7828122,45.894895
41,,,,,Auberge de Bionnassay,Saint Gervais les Bains (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/auberge-de-bionnassay,Augerge de Bionnassay,6.7557715,45.8653391
42,,,,,Refuge de Plan Glacier,Saint Gervais les Bains (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-de-plan-glacier,Plan Glacier,6.7967302,45.8327499
43,,,,,Refuge de Miage,Saint Gervais les Bains (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-de-miage,Refuge Miage,6.7254543,45.8647432
44,,,,,Refuge de Tré-la-Tête,Les Contamines (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-de-tre-la-tete,Refuge de Tré-la-Tete,6.7348639,45.7917861
45,,,,,Chalet CAF des Contamines,Les Contamines (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/chalet-caf-des-contamines,Chalet CAF,6.7248906,45.81691499999999
46,,,,,Refuge de La Croix du Bonhomme,Beaufort sur Doron (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-de-la-croix-du-bonhomme,Refuge de la Croix du Bonhomme,6.7173772,45.7221619
47,,,,,Refuge Robert Blanc,Bourg Saint Maurice (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-robert-blanc,Refuge Robert Blanc,6.774442,45.7653907
48,,,,,Rifugio Elisabetta Soldini,"Val Veny, Courmayeur (It)",https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/rifugio-elisabetta-soldini,Rifugio Elisabetta,6.837366745086686,45.76699454927691
49,,,,,Rifugio Bonatti,"Val Ferret, Courmayeur (It)",https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/rifugio-bonatti,Rifugio Bonatti,7.033524,45.846917
50,,,,,Rifugio Elena,"Arnouva - Val Ferret, Courmayeur (It)",https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/rifugio-elena,Rifugio Elena,7.0656889,45.8848528
51,,,,,Pension en Plein Air,Champex-Lac (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/pension-en-plein-air,Pension En Plein Air,7.1120606,46.0313846
52,,,,,Hotel de La Forclaz,Col de La Forclaz - Trient (CH),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/hotel-de-la-forclaz,Hotel de La Forclaz,7.001223100000001,46.0580177
53,,,,,Refuge du Col de Balme,Col de Balme (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-du-col-de-balme,Refuge du Col de Balme,6.970189,46.0267753
54,,,,,Chalet Anatase,Vallorcine (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/chalet-anatase,Gîte l'Anatase,6.934523599999999,46.03557430000001
55,,,,,Chalet Alpin du Tour,Chamonix - Le Tour (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/chalet-alpin-du-tour,Chalet Alpin du Tour,6.9475593,46.0015138
56,,,,,Refuge du Lac Blanc,Chamonix (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-du-lac-blanc,Refuge du Lac Blanc,6.892156,45.981674
57,,,,,Refuge de La Flégère,Chamonix (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-de-la-flegere,Refuge de La Flégère,6.886818799999999,45.96035759999999
